CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN
20,Oaxaca,333,San Pedro Totolápam
20,Oaxaca,334,Villa de Tututepec de Melchor Ocampo
20,Oaxaca,335,San Pedro Yaneri
20,Oaxaca,336,San Pedro Yólox
20,Oaxaca,337,San Pedro y San Pablo Ayutla
20,Oaxaca,338,Villa de Etla
20,Oaxaca,339,San Pedro y San Pablo Teposcolula
20,Oaxaca,340,San Pedro y San Pablo Tequixtepec
20,Oaxaca,341,San Pedro Yucunama
20,Oaxaca,342,San Raymundo Jalpan
20,Oaxaca,343,San Sebastián Abasolo
20,Oaxaca,344,San Sebastián Coatlán
20,Oaxaca,345,San Sebastián Ixcapa
20,Oaxaca,346,San Sebastián Nicananduta
20,Oaxaca,347,San Sebastián Río Hondo
20,Oaxaca,348,San Sebastián Tecomaxtlahuaca
20,Oaxaca,349,San Sebastián Teitipac
20,Oaxaca,350,San Sebastián Tutla
20,Oaxaca,351,San Simón Almolongas
20,Oaxaca,352,San Simón Zahuatlán
20,Oaxaca,353,Santa Ana
20,Oaxaca,354,Santa Ana Ateixtlahuaca
20,Oaxaca,355,Santa Ana Cuauhtémoc
20,Oaxaca,356,Santa Ana del Valle
20,Oaxaca,357,Santa Ana Tavela
20,Oaxaca,358,Santa Ana Tlapacoyan
20,Oaxaca,359,Santa Ana Yareni
20,Oaxaca,360,Santa Ana Zegache
20,Oaxaca,361,Santa Catalina Quierí
20,Oaxaca,362,Santa Catarina Cuixtla
20,Oaxaca,363,Santa Catarina Ixtepeji
20,Oaxaca,364,Santa Catarina Juquila
20,Oaxaca,365,Santa Catarina Lachatao
20,Oaxaca,366,Santa Catarina Loxicha
20,Oaxaca,367,Santa Catarina Mechoacán
20,Oaxaca,368,Santa Catarina Minas
20,Oaxaca,369,Santa Catarina Quiané
20,Oaxaca,370,Santa Catarina Tayata
20,Oaxaca,371,Santa Catarina Ticuá
20,Oaxaca,372,Santa Catarina Yosonotú
20,Oaxaca,373,Santa Catarina Zapoquila
20,Oaxaca,374,Santa Cruz Acatepec
20,Oaxaca,375,Santa Cruz Amilpas
20,Oaxaca,376,Santa Cruz de Bravo
20,Oaxaca,377,Santa Cruz Itundujia
20,Oaxaca,378,Santa Cruz Mixtepec
20,Oaxaca,379,Santa Cruz Nundaco
20,Oaxaca,380,Santa Cruz Papalutla
20,Oaxaca,381,Santa Cruz Tacache de Mina
20,Oaxaca,382,Santa Cruz Tacahua
20,Oaxaca,383,Santa Cruz Tayata
20,Oaxaca,384,Santa Cruz Xitla
20,Oaxaca,385,Santa Cruz Xoxocotlán
20,Oaxaca,386,Santa Cruz Zenzontepec
20,Oaxaca,387,Santa Gertrudis
20,Oaxaca,388,Santa Inés del Monte
20,Oaxaca,389,Santa Inés Yatzeche
20,Oaxaca,390,Santa Lucía del Camino
20,Oaxaca,391,Santa Lucía Miahuatlán
20,Oaxaca,392,Santa Lucía Monteverde
20,Oaxaca,393,Santa Lucía Ocotlán
20,Oaxaca,394,Santa María Alotepec
20,Oaxaca,395,Santa María Apazco
20,Oaxaca,396,Santa María la Asunción
20,Oaxaca,397,Heroica Ciudad de Tlaxiaco
20,Oaxaca,398,Ayoquezco de Aldama
20,Oaxaca,399,Santa María Atzompa
20,Oaxaca,400,Santa María Camotlán
20,Oaxaca,401,Santa María Colotepec
20,Oaxaca,402,Santa María Cortijo
20,Oaxaca,403,Santa María Coyotepec
20,Oaxaca,404,Santa María Chachoápam
20,Oaxaca,405,Villa de Chilapa de Díaz
20,Oaxaca,406,Santa María Chilchotla
20,Oaxaca,407,Santa María Chimalapa
20,Oaxaca,408,Santa María del Rosario
20,Oaxaca,409,Santa María del Tule
20,Oaxaca,410,Santa María Ecatepec
20,Oaxaca,411,Santa María Guelacé
20,Oaxaca,412,Santa María Guienagati
20,Oaxaca,413,Santa María Huatulco
20,Oaxaca,414,Santa María Huazolotitlán
20,Oaxaca,415,Santa María Ipalapa
20,Oaxaca,416,Santa María Ixcatlán
20,Oaxaca,417,Santa María Jacatepec
20,Oaxaca,418,Santa María Jalapa del Marqués
20,Oaxaca,419,Santa María Jaltianguis
20,Oaxaca,420,Santa María Lachixío
20,Oaxaca,421,Santa María Mixtequilla
20,Oaxaca,422,Santa María Nativitas
20,Oaxaca,423,Santa María Nduayaco
20,Oaxaca,424,Santa María Ozolotepec
20,Oaxaca,425,Santa María Pápalo
20,Oaxaca,426,Santa María Peñoles
20,Oaxaca,427,Santa María Petapa
20,Oaxaca,428,Santa María Quiegolani
20,Oaxaca,429,Santa María Sola
20,Oaxaca,430,Santa María Tataltepec
20,Oaxaca,431,Santa María Tecomavaca
20,Oaxaca,432,Santa María Temaxcalapa
20,Oaxaca,433,Santa María Temaxcaltepec
20,Oaxaca,434,Santa María Teopoxco
20,Oaxaca,435,Santa María Tepantlali
20,Oaxaca,436,Santa María Texcatitlán
20,Oaxaca,437,Santa María Tlahuitoltepec
20,Oaxaca,438,Santa María Tlalixtac
20,Oaxaca,439,Santa María Tonameca
20,Oaxaca,440,Santa María Totolapilla
20,Oaxaca,441,Santa María Xadani
20,Oaxaca,442,Santa María Yalina
20,Oaxaca,443,Santa María Yavesía
20,Oaxaca,444,Santa María Yolotepec
20,Oaxaca,445,Santa María Yosoyúa
20,Oaxaca,446,Santa María Yucuhiti
20,Oaxaca,447,Santa María Zacatepec
20,Oaxaca,448,Santa María Zaniza
20,Oaxaca,449,Santa María Zoquitlán
20,Oaxaca,450,Santiago Amoltepec
20,Oaxaca,451,Santiago Apoala
20,Oaxaca,452,Santiago Apóstol
20,Oaxaca,453,Santiago Astata
20,Oaxaca,454,Santiago Atitlán
20,Oaxaca,455,Santiago Ayuquililla
20,Oaxaca,456,Santiago Cacaloxtepec
20,Oaxaca,457,Santiago Camotlán
20,Oaxaca,458,Santiago Comaltepec
20,Oaxaca,459,Santiago Chazumba
20,Oaxaca,460,Santiago Choápam
20,Oaxaca,461,Santiago del Río
20,Oaxaca,462,Santiago Huajolotitlán
20,Oaxaca,463,Santiago Huauclilla
20,Oaxaca,464,Santiago Ihuitlán Plumas
20,Oaxaca,465,Santiago Ixcuintepec
20,Oaxaca,466,Santiago Ixtayutla
20,Oaxaca,467,Santiago Jamiltepec
20,Oaxaca,468,Santiago Jocotepec
20,Oaxaca,469,Santiago Juxtlahuaca
20,Oaxaca,470,Santiago Lachiguiri
20,Oaxaca,471,Santiago Lalopa
20,Oaxaca,472,Santiago Laollaga
20,Oaxaca,473,Santiago Laxopa
20,Oaxaca,474,Santiago Llano Grande
20,Oaxaca,475,Santiago Matatlán
20,Oaxaca,476,Santiago Miltepec
20,Oaxaca,477,Santiago Minas
20,Oaxaca,478,Santiago Nacaltepec
20,Oaxaca,479,Santiago Nejapilla
20,Oaxaca,480,Santiago Nundiche
20,Oaxaca,481,Santiago Nuyoó
20,Oaxaca,482,Santiago Pinotepa Nacional
20,Oaxaca,483,Santiago Suchilquitongo
20,Oaxaca,484,Santiago Tamazola
20,Oaxaca,485,Santiago Tapextla
20,Oaxaca,486,Villa Tejúpam de la Unión
20,Oaxaca,487,Santiago Tenango
20,Oaxaca,488,Santiago Tepetlapa
20,Oaxaca,489,Santiago Tetepec
20,Oaxaca,490,Santiago Texcalcingo
20,Oaxaca,491,Santiago Textitlán
20,Oaxaca,492,Santiago Tilantongo
20,Oaxaca,493,Santiago Tillo
20,Oaxaca,494,Santiago Tlazoyaltepec
20,Oaxaca,495,Santiago Xanica
20,Oaxaca,496,Santiago Xiacuí
20,Oaxaca,497,Santiago Yaitepec
20,Oaxaca,498,Santiago Yaveo
20,Oaxaca,499,Santiago Yolomécatl
20,Oaxaca,500,Santiago Yosondúa
20,Oaxaca,501,Santiago Yucuyachi
20,Oaxaca,502,Santiago Zacatepec
20,Oaxaca,503,Santiago Zoochila
20,Oaxaca,504,Nuevo Zoquiápam
20,Oaxaca,505,Santo Domingo Ingenio
20,Oaxaca,506,Santo Domingo Albarradas
20,Oaxaca,507,Santo Domingo Armenta
20,Oaxaca,508,Santo Domingo Chihuitán
20,Oaxaca,509,Santo Domingo de Morelos
20,Oaxaca,510,Santo Domingo Ixcatlán
20,Oaxaca,511,Santo Domingo Nuxaá
20,Oaxaca,512,Santo Domingo Ozolotepec
20,Oaxaca,513,Santo Domingo Petapa
20,Oaxaca,514,Santo Domingo Roayaga
20,Oaxaca,515,Santo Domingo Tehuantepec
20,Oaxaca,516,Santo Domingo Teojomulco
20,Oaxaca,517,Santo Domingo Tepuxtepec
20,Oaxaca,518,Santo Domingo Tlatayápam
20,Oaxaca,519,Santo Domingo Tomaltepec
20,Oaxaca,520,Santo Domingo Tonalá
20,Oaxaca,521,Santo Domingo Tonaltepec
20,Oaxaca,522,Santo Domingo Xagacía
20,Oaxaca,523,Santo Domingo Yanhuitlán
20,Oaxaca,524,Santo Domingo Yodohino
20,Oaxaca,525,Santo Domingo Zanatepec
20,Oaxaca,526,Santos Reyes Nopala
20,Oaxaca,527,Santos Reyes Pápalo
20,Oaxaca,528,Santos Reyes Tepejillo
20,Oaxaca,529,Santos Reyes Yucuná
20,Oaxaca,530,Santo Tomás Jalieza
20,Oaxaca,531,Santo Tomás Mazaltepec
20,Oaxaca,532,Santo Tomás Ocotepec
20,Oaxaca,533,Santo Tomás Tamazulapan
20,Oaxaca,534,San Vicente Coatlán
20,Oaxaca,535,San Vicente Lachixío
20,Oaxaca,536,San Vicente Nuñú
20,Oaxaca,537,Silacayoápam
20,Oaxaca,538,Sitio de Xitlapehua
20,Oaxaca,539,Soledad Etla
20,Oaxaca,540,Villa de Tamazulápam del Progreso
20,Oaxaca,541,Tanetze de Zaragoza
20,Oaxaca,542,Taniche
20,Oaxaca,543,Tataltepec de Valdés
20,Oaxaca,544,Teococuilco de Marcos Pérez
20,Oaxaca,545,Teotitlán de Flores Magón
20,Oaxaca,546,Teotitlán del Valle
20,Oaxaca,547,Teotongo
20,Oaxaca,548,Tepelmeme Villa de Morelos
20,Oaxaca,549,"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca"
20,Oaxaca,550,San Jerónimo Tlacochahuaya
20,Oaxaca,551,Tlacolula de Matamoros
20,Oaxaca,552,Tlacotepec Plumas
20,Oaxaca,553,Tlalixtac de Cabrera
20,Oaxaca,554,Totontepec Villa de Morelos
20,Oaxaca,555,Trinidad Zaachila
20,Oaxaca,556,La Trinidad Vista Hermosa
20,Oaxaca,557,Unión Hidalgo
20,Oaxaca,558,Valerio Trujano
20,Oaxaca,559,San Juan Bautista Valle Nacional
20,Oaxaca,560,Villa Díaz Ordaz
20,Oaxaca,561,Yaxe
20,Oaxaca,562,Magdalena Yodocono de Porfirio Díaz
20,Oaxaca,563,Yogana
20,Oaxaca,564,Yutanduchi de Guerrero
20,Oaxaca,565,Villa de Zaachila
20,Oaxaca,566,San Mateo Yucutindó
20,Oaxaca,567,Zapotitlán Lagunas
20,Oaxaca,568,Zapotitlán Palmas
20,Oaxaca,569,Santa Inés de Zaragoza
20,Oaxaca,570,Zimatlán de Álvarez
